NAM	PRO	DAY	MON	YEA	HOU	TMZ	LAT	LON	PLA
Patch Paul	MI	28	05	1920	02:00	6h	39N44	104W59	Denver, CO
Patterson Floyd	SP	04	01	1935	14:30	5h	35N22	81W26	Waco, NC
Patchen Kenneth	WR	13	12	1910	00:30	6h	41N11	80W46	Niles, OH
Patton Melvin	SP	16	11	1924	13:07	8h	34N4	118W15	Los Angeles, CA
Pearson David	SP	22	12	1934	02:00	5h	34N56	81W57	Spartanburg, SC
Peck Gregory	AC	05	04	1916	08:00	8h	32N50	117W16	La Jolla, CA
Peckinpah David	AC	21	02	1925	14:15	8h	36N44	119W47	Fresno, CA
Pendleton Austin	AC	27	03	1940	00:45	5h	41N14	80W49	Warren, OH
Pennel John	SP	25	07	1940	16:46	6h	35N8	90W3	Memphis, TN
Peoples David	SP	06	06	1916	18:00	6h	36N13	83W18	Morristown, TN
Peoples Woodrow	SP	16	08	1943	03:21	5h	33N31	86W48	Birmingham, AL
Peppler Mary	SP	17	10	1944	21:48	5h	42N16	89W6	Rockford, IL
Percy Charles	PO	27	09	1919	03:40	5h	30N25	87W13	Pensacola, FL
Perlman Isadore	SC	12	04	1915	07:00	6h	43N2	87W55	Milwaukee, WI
Perot Henry	EX	27	06	1930	05:34	6h	33N26	94W6	Texarkana, TX
Perreau Gigi	AC	06	02	1941	11:40	8h	34N4	118W15	Los Angeles, CA
Perrine Valerie	AC	03	09	1943	21:20	5h	29N18	94W48	Galveston, TX
Perry Ellis	MI	29	09	1919	22:00	5h	35N14	87W20	Lawrenceburg, TN
Perry James	SP	30	10	1936	12:10	5h	35N51	77W4	Williamston, NC
Peters Jean	AC	15	10	1926	16:00	5h	40N48	81W23	Canton, OH
Petersen Donald	WR	11	11	1928	14:19	6h	44N59	93W16	Minneapolis, MN
Peterson Russel	PO	03	10	1916	04:00	6h	43N33	89W28	Portage, WI
Pettet William	AR	10	10	1942	21:00	7h	33N58	118W3	Whittier, CA
Pettit Robert	SP	12	12	1932	05:04	6h	30N27	91W11	Baton Rouge, LA
Petty Richard	SP	02	07	1937	08:45	5h	35N49	79W48	Randleman, NC
Phillips James	SP	05	02	1936	03:45	6h	32N56	85W58	Alexander City, AL
Pickens Slim	AC	29	06	1919	23:50	7h	36N31	119W33	Kingsberg, CA
Pillod Charles	EX	20	10	1918	15:05	5h	41N8	81W29	Cuyahoga Falls, OH
Pimentel George	SC	02	05	1922	23:00	8h	36N44	119W47	Fresno, CA
Pine Phillip	AC	16	07	1925	02:35	8h	36N20	119W39	Hanford, CA
Pinkerton Clayton	AR	06	03	1931	11:00	8h	37N47	122W25	San Francisco, CA
Pitchford Kenneth	WR	24	01	1931	06:10	6h	46N53	96W45	Moorhead, MN
Pitts William	MI	27	11	1919	06:00	8h	33N54	117W15	March Field, CA
Plante David	WR	04	03	1940	13:00	5h	41N49	71W24	Providence, RI
Platts John	EX	19	11	1917	20:00	5h	42N20	83W3	Detroit, MI
Plunkett Jim	SP	05	12	1947	02:30	8h	37N20	121W53	San Jose, CA
Poe Bryce	MI	10	10	1924	00:44	6h	37N42	97W20	Wichita, KS
Poggemeyer Herman	MI	22	04	1919	06:03	5h	39N19	94W55	Leavenworth, KS
Pollard James	SP	09	07	1922	22:50	8h	37N49	122W16	Oakland, CA
Porter Bill	SP	24	03	1926	02:35	5h	42N15	84W24	Jackson, MI
Poston Thoams	AC	17	10	1921	21:40	6h	39N58	83W0	Columbus, OH
Powers James	WR	08	07	1917	17:30	6h	39N44	90W14	Jacksonville, IL
Prefontaine Steve	SP	25	01	1951	08:05	8h	43N22	124W13	Coos Bay, OR
Presnell Harve	AC	14	09	1933	02:10	8h	37N39	121W0	Modesto, CA
Preus Jacob	XX	08	01	1920	07:00	6h	44N57	93W6	St Paul, MN
Price Edwards	WR	01	02	1933	08:00	5h	36N26	78W5	Macon, NC
Price Frank	MI	11	06	1919	07:00	5h	37N47	82W44	Van Lear, KY
Prokosch Frederic	WR	17	05	1906	06:00	6h	43N4	89W24	Madison, WI
Pryor Richard	AC	01	12	1940	13:02	6h	40N42	89W36	Peoria, IL
Puck Theodore	SC	24	09	1916	23:15	6h	41N52	87W39	Chicago, IL
Rabb Ellis	AC	20	06	1930	10:15	6h	35N8	90W3	Memphis, TN
Rae Charlotte	AC	22	04	1926	18:30	6h	43N2	87W55	Milwaukee, WI
Rainey Froelich	SC	18	06	1907	00:00	6h	44N18	90W51	Black River Falls, WI
Raitt John	AC	19	01	1917	13:00	8h	33N46	117W52	Santa Ana, CA
Ralston R	SP	27	07	1942	08:37	7h	35N23	119W1	Bakersfield, CA
Ramo Simon	EX	07	05	1913	11:30	7h	40N45	111W53	Salt Lake City, UT
Ramos Mel	AR	24	07	1935	13:00	8h	38N35	121W29	Sacramento, CA
Ramsey Lloyd	MI	29	05	1918	07:00	5h	37N05	84W36	Somerset, KY
Ramsey Logan	AC	21	03	1921	05:30	8h	33N47	118W11	Long Beach, CA
Rather Dan	XX	31	10	1931	18:13	6h	29N19	96W6	Wharton, TX
Rauh Joseph	PO	03	01	1911	20:00	6h	39N6	84W31	Cincinnati, OH
Rauschenberg Robert	AR	22	10	1925	10:00	6h	29N54	93W56	Port Arthur, TX
Ray Dixy	PO	03	09	1914	01:00	8h	47N14	122W26	Tacoma, WA
Redford Robert	AC	18	08	1936	20:02	8h	34N1	118W29	Santa Monica, CA
Reed Willis	SP	25	06	1942	20:40	5h	32N49	92W39	Bernice, LA
Reeves Steve	AC	21	01	1926	08:00	7h	48N11	106W38	Glasgow, MT
Rehnquist William	PO	01	10	1924	11:32	6h	43N2	87W55	Milwaukee, WI
Reilly M	MI	27	08	1921	21:15	7h	47N30	111W17	Great Falls, MT
Renner William	EX	29	09	1920	23:00	5h	39N31	84W24	Middletown, OH
Revelle Roger	SC	07	03	1909	09:20	8h	47N36	122W20	Seattle, WA
Rhea Alexander	EX	10	05	1919	21:40	5h	31N57	97W19	Whitney, TX
Rhodarmer Roger	MI	18	02	1922	15:50	5h	35N32	82W50	Canton, NC
Rhodes John	PO	18	09	1916	08:15	6h	38N40	96W29	Council Grove, KS
Ricciardi Franc	EX	21	08	1923	17:10	4h	40N48	74W12	Glen Ridge, NJ
Rice James	SP	08	03	1953	02:06	5h	34N31	82W39	Anderson, SC
Richards Robert	SP	20	02	1926	20:00	6h	40N7	88W15	Champaign, IL
Richardson Bobby	SP	19	08	1935	05:00	5h	33N55	80W21	Sumter, SC
Richmond Chester	MI	22	02	1917	12:31	8h	37N47	122W25	San Francisco, CA
Riegle Donald	PO	04	02	1938	20:50	5h	43N1	83W41	Flint, MI
Rigby Cathy	SP	12	12	1952	18:45	8h	33N47	118W11	Long Beach, CA
Riggs Bobby	SP	25	02	1918	01:00	8h	34N4	118W15	Los Angeles, CA
Roan Charles	MI	16	08	1923	04:00	6h	35N7	101W22	Claude, TX
Roberts Carson	MI	04	09	1905	15:30	6h	42N51	90W43	Lancaster, WI
Roberts John	MI	01	01	1921	21:00	6h	44N10	94W0	Mankato, MN
Roberts John	SP	08	06	1918	08:40	7h	34N4	118W15	Los Angeles, CA
Roberts Ken	SP	31	12	1951	17:07	8h	37N39	121W0	Modesto, CA
Roberts Robin	SP	30	09	1926	11:45	6h	39N48	89W39	Springfield, IL
Robinson Arnie	SP	07	04	1948	20:55	7h	32N43	117W9	San Diego, CA
Robinson Richard	SP	03	05	1941	22:49	4h	40N0	74W47	Mount Holly, NJ
Roddis Louis	EX	09	09	1918	15:00	4h	32N46	79W56	Charleston, SC
Rodgers Philamon	SP	03	04	1938	07:45	8h	32N43	117W9	San Diego, CA
Rogers Bernard	MI	16	07	1921	14:30	6h	39N50	95W44	Fairview, KS
Rogers Roy	AC	05	11	1911	12:15	6h	39N6	84W31	Cincinnati, OH
Rohm Robert	AR	06	02	1934	04:09	5h	39N6	84W31	Cincinnati, OH
Roosa Stuart	MI	16	08	1933	23:00	7h	37N17	107W53	Durango, CO
Root William	WR	28	12	1941	06:40	6h	43N40	92W58	Austin, MN
Rosburg Bob	SP	21	10	1926	09:20	8h	37N47	122W25	San Francisco, CA
Rose Peter	SP	14	04	1941	05:45	5h	39N6	84W31	Cincinnati, OH
Roseborough Morgan	MI	14	06	1918	13:00	5h	35N8	90W3	Memphis, TN
Rosen Martin	PO	07	08	1919	22:20	5h	39N6	84W31	Cincinnati, OH
Ross Diana	AC	26	03	1944	23:46	4h	42N20	83W3	Detroit, MI
Ross Donald	MI	14	10	1923	11:00	8h	37N39	121W0	Modesto, CA
Roth Philip	WR	19	03	1933	01:00	5h	40N44	74W10	Newark, NJ
Roth William	PO	22	07	1921	16:15	7h	47N30	111W17	Great Falls, MT
Rubin Larry	WR	14	02	1930	03:00	5h	40N40	74W7	Bayonne, NJ
Rule Janica	AC	15	08	1931	05:15	5h	39N10	84W27	Norwood, OH
Rush David	PO	17	01	1910	12:00	8h	46N4	118W20	Walla Walla, WA
Russell Jane	AC	21	06	1921	06:15	6h	47N28	94W53	Bemidji, MN
Russell John	AC	03	01	1921	00:05	8h	34N4	118W15	Los Angeles, CA
Russell Kendell	MI	25	01	1925	04:10	6h	39N22	94W55	Fort Lesvenworth, KS
Russell Kurt	AC	17	03	1951	10:42	5h	42N6	72W35	Springfield, MA
Ryan Michael	MI	31	01	1916	23:00	6h	38N38	95W50	Osage City, KS
Ryun James	SP	29	04	1947	17:00	6h	37N42	97W20	Wichita, KS
Sabich Vladimir	SP	09	01	1945	01:18	7h	38N35	121W29	Sacramento, CA
Saimes George	SP	01	09	1941	03:30	5h	40N48	81W23	Canton, OH
Saint Eva	AC	04	07	1924	17:25	4h	40N44	74W10	Newark, NJ
Saint John Adrian	MI	06	11	1921	22:50	6h	39N22	94W55	Fort Leavenworth, KS
Saint John Jill	AC	19	08	1940	18:21	8h	34N4	118W15	Los Angeles, CA
Salinger Pierre	PO	14	06	1925	16:30	8h	37N47	122W25	San Francisco, CA
Salmon Thomas	PO	19	08	1932	12:36	5h	41N30	81W42	Cleveland, OH
Salt Jennifer	AC	04	09	1944	21:34	7h	34N4	118W15	Los Angeles, CA
Sanders Ed	WR	17	08	1939	14:10	6h	39N6	94W35	Kansas City, MO
Santee Wes	SP	25	03	1932	13:00	6h	37N12	99W47	Ashland, KS
Saul Peter	AR	16	08	1934	10:01	8h	37N47	122W25	San Francisco, CA
Savitt Richard	SP	04	03	1927	16:15	5h	40N40	74W7	Bayonne, NJ
Sawhill John	XX	12	06	1936	14:10	5h	41N30	81W42	Cleveland, OH
Sayers Gale	SP	20	05	1943	01:05	5h	37N42	97W20	Wichita, KS
Scali John	PO	27	04	1918	03:51	5h	40N48	81W23	Canton, OH
Scammon Richard	XX	17	07	1915	09:45	6h	44N59	93W16	Minneapolis, MN
Schaetzel John	EX	28	01	1917	19:00	8h	32N49	115W23	Holtville, CA
Schevill James	WR	10	06	1920	06:40	8h	37N52	122W16	Berkeley, CA
Schirra Walter	MI	12	03	1923	16:55	5h	40N53	74W3	Hackensack, NJ
Schlafly Phyllis	WR	15	08	1924	23:25	6h	38N37	90W12	St Louis, MO
Schlesinger Arthur	WR	15	10	1917	01:55	6h	39N58	83W0	Columbus, OH
Schmidt Kathy	SP	29	12	1953	10:08	8h	33N47	118W11	Long Beach, CA
Schmidt Mike	SP	27	09	1949	10:33	5h	39N45	84W12	Dayton, OH
Schneider Raymond	MI	20	10	1917	17:30	5h	41N30	81W42	Cleveland, OH
Schollander Donald	SP	30	04	1946	12:34	5h	35N13	80W51	Charlotte, NC
Schoning William	MI	22	02	1922	09:45	8h	47N36	122W20	Seattle, WA
Schorer Mark	WR	17	05	1908	13:00	6h	43N17	89W43	Sauk City, WI
Schroeder Frederick	SP	20	07	1921	22:40	4h	40N44	74W10	Newark, NJ
Schul Bob	SP	28	09	1937	05:30	5h	39N58	84W20	West Milton, OH
Schweickart Russel	MI	25	10	1935	19:02	5h	40N13	74W2	Neptune, NJ
Scott David	MI	06	06	1932	04:04	6h	29N25	98W30	San Antonio, TX
Scott Jacob	SP	20	07	1945	04:08	4h	34N12	82W10	Greenwood, SC
Scowcroft Brent	MI	19	03	1925	17:50	7h	41N13	111W58	Ogden, UT
Scrimshaw Nevin	SC	20	01	1918	18:00	6h	43N2	87W55	Milwaukee, WI
Seagren Robert	SP	17	10	1946	16:04	8h	34N4	117W45	Pomona, CA
Seagull Barbara	AC	05	02	1948	10:01	8h	34N6	118W21	Hollywood, CA
Seaver Tom	SP	17	11	1944	06:27	7h	36N44	119W47	Fresno, CA
Sefton William	SP	21	01	1915	02:20	8h	34N4	118W15	Los Angeles, CA
Seibert Donald	EX	17	08	1923	02:35	6h	39N24	84W34	Hamilton, OH
Seignious George	MI	21	06	1921	03:00	5h	33N30	80W52	Orangeburg, SC
Seitz Frederick	SC	04	07	1911	22:20	8h	37N47	122W25	San Francisco, CA
Seitz Richard	MI	18	02	1918	11:45	6h	39N19	94W55	Leavenworth, KS
Selecman Charles	EX	17	09	1928	06:33	6h	32N47	96W49	Dallas, TX
Sell Leslie	MI	20	05	1921	12:00	5h	36N19	82W21	Johnson City, TN
Shaffer Raymond	EX	06	04	1912	22:30	6h	37N59	94W49	Harding, KS
Shapiro Irving	EX	15	07	1916	23:10	6h	44N59	93W16	Minneapolis, MN
Shapleigh Warren	EX	27	10	1920	18:00	6h	38N37	90W12	St Louis, MO
Shapp Milton	PO	25	06	1912	03:30	6h	41N30	81W42	Cleveland, OH
Shaw Tim	SP	08	11	1957	21:20	8h	33N47	118W11	Long Beach, CA
Sheen Martin	AC	03	08	1940	20:03	5h	39N45	84W12	Dayton, OH
Shelton Ernie	SP	28	09	1932	17:45	6h	37N41	95W27	Chanute, KS
Shields Allan	AR	04	02	1944	01:48	5h	38N34	96W58	Lost Springs, KS
Shiely Albert	MI	14	07	1920	10:25	6h	44N57	93W6	St Paul, MN
Shlaudeman Harry	PO	17	05	1926	18:45	8h	34N4	118W15	Los Angeles, CA
Shoemaker Eugene	PO	28	04	1928	11:56	8h	34N4	118W15	Los Angeles, CA
Short Bobby	AC	15	09	1924	22:30	6h	40N8	87W37	Danville, IL
Sianis Pete	MI	22	01	1920	21:00	6h	39N6	94W35	Kansas City, MO
Sidle Winant	MI	07	09	1916	20:00	6h	39N55	83W49	Springfield, OH
Sigler Franklin	MI	06	11	1924	12:40	5h	40N48	74W12	Glen Ridge, NJ
Silvester Jay	SP	27	08	1937	07:30	8h	41N43	112W10	Tremonton, UT
Simanek Robert	MI	26	04	1930	02:55	5h	42N20	83W3	Detroit, MI
Sime Dave	SP	25	07	1936	14:35	4h	40N55	74W11	Paterson, NJ
Simokaitis Frank	MI	12	12	1922	23:25	6h	38N37	90W12	St Louis, MO
Simon Herbert	XX	15	06	1916	16:15	6h	43N2	87W55	Milwaukee, WI
Simon William	PO	27	11	1927	21:55	5h	40N55	74W11	Paterson, NJ
Simone Nina	AR	21	02	1933	06:00	5h	35N13	82W14	Tryon, NC
Simpson Orenthal	SP	09	07	1947	08:08	8h	37N47	122W25	San Francisco, CA
Singlaub John	MI	10	07	1921	15:00	8h	36N48	118W12	Independence, CA
Six Robert	EX	25	06	1907	04:00	8h	37N58	121W17	Stockton, CA
Skaggs Luther	MI	03	03	1923	02:30	6h	37N50	87W35	Henderson, KY
Skeggs Leonard	SC	09	06	1918	22:00	5h	41N21	83W7	Fremont, OH
Slater Joseph	PO	17	08	1922	04:56	7h	40N45	111W53	Salt Lake City, UT
Slayton Donald	MI	01	03	1924	05:40	6h	43N56	90W49	Sparta, WI
Small Walter	MI	31	10	1916	13:40	5h	36N18	76W14	Elizabeth City, NC
Smart Louis	EX	17	11	1923	12:45	6h	39N58	83W0	Columbus, OH
Smeal Eleanor	PO	30	07	1939	16:38	5h	41N52	80W47	Ashtabula, OH
Smith Adrian	SP	05	10	1936	05:30	6h	36N42	88W32	Farmington, KY
Smith John	AC	06	03	1931	20:12	8h	34N4	118W15	Los Angeles, CA
Smith John	SP	05	08	1950	11:03	7h	34N4	118W15	Los Angeles, CA
Smith Lloyd	EX	13	10	1920	14:45	6h	43N2	87W55	Milwaukee, WI
Smith Lois	AC	03	11	1930	22:45	6h	39N3	95W40	Topeka, KS
Smith Michael	WR	05	10	1935	15:40	6h	39N6	94W35	Kansas City, MO
Smith Owen	SP	20	05	1920	23:20	6h	33N12	96W37	Mc Kinney, TX
Smith Roger	AC	18	12	1932	02:56	8h	33N57	118W12	South Gate, CA
Smith Stanley	SP	14	12	1946	22:13	8h	34N9	118W9	Pasadena, CA
Smith Steve	SP	24	11	1951	04:42	8h	33N47	118W11	Long Beach, CA
Smith Tommie	SP	05	06	1944	06:00	5h	33N37	95W3	Clarksville, TX
Smith Wallace	SP	02	04	1929	23:00	5h	39N6	84W31	Cincinnati, OH
Smithson Robert	AR	02	01	1938	15:42	5h	40N51	74W7	Passaic, NJ
Snavely William	MI	06	04	1920	09:50	8h	34N4	118W15	Los Angeles, CA
Snell Esmond	SC	22	09	1914	01:30	7h	40N45	111W53	Salt Lake City, UT
Snyder Gary	WR	08	05	1930	18:12	8h	37N47	122W25	San Francisco, CA
Snyder Joan	AR	16	04	1940	23:15	5h	40N30	74W27	New Brunswick, NJ
Sorenson Richard	MI	28	08	1924	11:46	6h	45N12	93W23	Anoka, MN
Spencer Donald	SC	25	04	1912	15:30	7h	40N1	105W17	Boulder, CO
Spencer William	EX	24	07	1917	10:00	7h	39N4	108W33	Grand Jet, CO
Spero Nancy	AR	24	08	1926	13:00	5h	41N30	81W42	Cleveland, OH
Spitz Mark	SP	10	02	1950	17:45	8h	37N39	121W0	Modesto, CA
Spitzer Lyman	SC	26	06	1914	21:45	6h	41N39	83W33	Toledo, OH
Sprinsteen Bruce	AR	23	09	1949	22:50	4h	40N16	74W17	Freehold, NJ
Squires Radcliffe	WR	23	05	1917	06:30	7h	40N45	111W53	Salt Lake City, UT
Staats Elmer	PO	06	06	1914	15:00	7h	37N16	101W47	Richfield, KS
Stack Robert	AC	13	01	1919	16:40	8h	34N4	118W15	Los Angeles, CA
Stafford Jean	WR	01	07	1915	23:50	8h	34N5	117W52	Covina, CA
Staiger John	EX	20	03	1910	19:00	6h	44N43	88W09	Chase, WI
Stamper Malcolm	EX	04	04	1925	13:15	5h	42N20	83W3	Detroit, MI
Stanford Ann	WR	25	11	1916	18:15	8h	33N56	117W57	La Habra, CA
Stapleton Carl	MI	13	11	1917	01:40	6h	35N58	83W55	Knoxville, TN
Starkweather David	WR	11	09	1935	05:55	6h	43N4	89W24	Madison, WI
Starnes William	MI	23	03	1919	05:25	6h	39N58	83W0	Columbus, OH
Starr Bryen	SP	09	01	1934	15:00	6h	32N23	86W19	Montgomery, AL
Staubach Roger	SP	05	02	1942	04:25	5h	39N6	84W31	Cincinnati, OH
Stearns Charles	SP	13	02	1939	07:58	8h	34N4	118W15	Los Angeles, CA
Steers Lester	SP	16	06	1917	10:30	8h	40N47	124W9	Eureka, CA
Stein Tony	MI	30	09	1921	07:00	6h	39N45	84W12	Dayton, OH
Steinbrenner George	EX	04	07	1930	21:00	5h	41N28	81W51	Rocky River, OH
Steinem Gloria	WR	25	03	1934	22:00	5h	41N39	83W33	Toledo, OH
Steinkraus William	SP	12	10	1925	14:30	5h	41N30	81W42	Cleveland, OH
Stephens Helen	SP	03	02	1918	02:35	6h	38N52	91W57	Fulton, MO
Stevens George	XX	03	04	1932	16:18	8h	34N4	118W15	Los Angeles, CA
Stevens Mark	AC	13	12	1922	16:15	5h	41N30	81W42	Cleveland, OH
Stewart James	MI	02	04	1921	21:00	6h	38N37	90W12	St Louis, MO
Stewart Thomas	AR	29	08	1928	12:15	6h	31N12	98W43	San Saba, TX
Stewart William	SC	19	05	1921	02:00	6h	44N59	93W16	Minneapolis, MN
Stigler George	XX	17	01	1911	00:45	8h	47N29	122W12	Renton, WA
Stockton David	SP	02	11	1941	03:07	8h	34N7	117W19	San Bernardino, CA
Stockwell Dean	AC	05	03	1936	21:42	8h	34N6	118W21	Hollywood, CA
Stokes Carl	PO	21	06	1927	10:30	5h	41N30	81W42	Cleveland, OH
Stokes Colin	EX	04	04	1914	03:50	5h	36N6	80W15	WinstonSalem, NC
Stones Dwight	SP	06	12	1953	12:01	8h	34N4	118W15	Los Angeles, CA
Stoney Robert	MI	24	03	1919	06:45	6h	36N10	86W47	Nashville, TN
Storm Gale	AC	05	04	1922	11:00	6h	28N39	96W54	Bloomington, TX
Stouder Sharon	SP	09	11	1948	02:16	7h	34N8	117W52	Glendora, CA
Suerstedt Henry	MI	14	10	1920	16:14	8h	37N52	122W16	Berkeley, CA
Summer Donna	AR	31	12	1948	21:00	5h	42N22	71W4	Boston, MA
Summer James	EX	12	06	1923	15:15	6h	32N47	96W49	Dallas, TX
Sweeney Walter	SP	18	04	1941	09:20	5h	42N14	70W48	Cohasset, MA
Swensen Ken	SP	18	04	1948	20:00	6h	39N23	97W8	Clay Center, KS
Swigert John	MI	30	08	1931	06:19	7h	39N44	104W59	Denver, CO
Sylvester William	AC	31	01	1922	00:30	8h	37N49	122W16	Oakland, CA
Tackaberry Thomas	AC	06	09	1923	10:30	8h	34N4	118W15	Los Angeles, CA
Taft Robert	PO	26	02	1917	07:00	6h	39N6	84W31	Cincinnati, OH
Talbert William	SP	04	09	1918	21:00	5h	39N6	84W31	Cincinnati, OH
Talbott Carlos	MI	28	01	1920	01:05	6h	39N30	88W10	Charleston, IL
Talese Gay	WR	07	02	1932	19:00	5h	39N17	74W35	Ocean City, NJ
Tarkenton Francis	SP	03	02	1940	00:42	5h	37N33	77W27	Richmond, VA
Tarpley Thomas	MI	04	07	1922	21:25	6h	39N56	91W23	Quincy, IL
Tarr Curtis	PO	18	09	1924	20:55	8h	37N58	121W17	Stockton, CA
Tarr Jerry	SP	27	08	1939	06:10	6h	39N3	95W40	Topeka, KS
Tate Sharon	AC	24	01	1943	17:47	5h	32N47	96W49	Dallas, TX
Taylor Arthur	EX	06	07	1935	12:15	4h	40N40	74W13	Elizabeth, NJ
Taylor Brian	SP	09	06	1951	12:01	4h	40N31	74W16	Perth Amboy, NJ
Taylor James	AR	12	03	1948	17:06	5h	42N22	71W4	Boston, MA
Taylor Robert	SP	14	09	1948	10:30	6h	32N21	95W18	Tyler, TX
Temple-Black Shirley	AC	23	04	1928	21:00	8h	34N1	118W29	Santa Monica, CA
Tetley Glen	AR	03	02	1926	01:05	5h	41N30	81W42	Cleveland, OH
Theroux Paul	WR	10	04	1941	19:00	5h	42N25	71W7	Medford, MA
Thomas John	SP	03	03	1941	21:55	5h	42N22	71W4	Boston, MA
Thomas Michael	AR	21	12	1944	09:44	7h	34N6	118W21	Hollywood, CA
Thomas Philip	AC	26	05	1949	04:04	5h	39N58	83W0	Columbus, OH
Thomas Richard	EX	11	01	1931	12:30	5h	40N35	83W8	Marion, OH
Thompson David	SP	13	07	1954	02:15	5h	35N17	81W32	Shelby, NC
Thompson Marshall	AC	27	11	1925	10:45	6h	40N42	89W36	Peoria, IL
Thurman John	MI	11	04	1924	10:40	6h	38N3	84W30	Lexington, KY
Thurston Frederick	SP	29	12	1933	15:00	6h	44N48	91W27	Altoona, WI
Tibbs Tommy	SP	23	07	1934	08:00	5h	39N43	82W36	Lancaster, OH
Tighe Eugene	MI	19	06	1921	19:45	7h	40N36	103W51	New Raymer, CO
Tillinghast Richard	WR	25	11	1940	13:19	6h	35N8	90W3	Memphis, TN
Timmerman Grant	MI	14	02	1919	08:00	6h	38N30	96W16	Americus, KS
Todd Patricia	SP	22	07	1922	17:00	8h	37N47	122W25	San Francisco, CA
Tompkins Rathvon	MI	23	08	1912	18:00	7h	40N1	105W17	Boulder, CO
Towers Constance	AC	20	05	1931	14:35	7h	48N25	114W20	Whitefish, MT
Townes Charles	SC	28	07	1915	05:00	5h	34N51	82W24	Greenville, SC
Trabert Marion	SP	16	08	1930	03:50	5h	39N6	84W31	Cincinnati, OH
Travolta John	AC	18	02	1954	14:53	5h	40N54	73W59	Englewood, NJ
Trowbridge Alexander	EX	12	12	1929	13:05	5h	40N54	73W59	Englewood, NJ
Turner Myron	MI	04	04	1913	23:25	6h	39N6	84W31	Cincinnati, OH
Turner Ted	EX	19	11	1938	08:50	5h	39N6	84W31	Cincinnati, OH
Tyler Anna	WR	25	10	1941	23:31	6h	44N59	93W16	Minneapolis, MN
Tyrer James	SP	25	02	1939	20:23	5h	40N3	82W24	Newark, OH
Tyus Wyomia	SP	29	08	1945	09:45	5h	33N1	84W16	Griffin, GA
Unseld Westley	SP	14	03	1946	04:26	6h	38N15	85W46	Louisville, KY
Valenti Jack	PO	05	09	1921	20:30	6h	29N46	95W22	Houston, TX
Valentine Dewain	WR	27	08	1936	14:58	7h	40N35	105W5	Fort Collins, CO
Van Cleef Lee	AC	09	01	1925	05:00	5h	40N3	74W38	Somerville, NJ
Vanderstock Geoff	SP	08	10	1946	00:40	6h	41N52	87W39	Chicago, IL
Vaughan Sarah	AC	27	03	1924	21:45	5h	40N44	74W10	Newark, NJ
Venuta Benay	AC	27	01	1910	22:21	8h	37N47	122W25	San Francisco, CA
Verdon Gwen	AC	13	01	1925	09:57	8h	34N1	118W25	Culver City, CA
Verga Robert	SP	07	09	1945	03:25	4h	40N13	74W2	Neptune, NJ
Vincent Jan	AC	15	07	1945	10:16	6h	39N44	104W59	Denver, CO
Viner Frank	WR	09	08	1937	13:45	4h	42N16	71W48	Worcester, MA
Vines H	SP	29	09	1911	12:00	8h	34N4	118W15	Los Angeles, CA
Vogel Robert	SP	23	09	1941	13:46	5h	39N58	83W0	Columbus, OH
Volcker Paul	PO	05	09	1927	10:30	4h	38N56	74W56	Cape May, NJ
Volk Richard	SP	15	03	1945	01:24	5h	41N39	83W33	Toledo, OH
Voulkos Peter	WR	29	01	1924	08:45	7h	45N41	111W2	Bozeman, MT
Vukovich William	SP	29	03	1944	11:30	7h	36N44	119W47	Fresno, CA
Wade Bob	AR	06	01	1943	23:50	5h	30N17	97W45	Austin, TX
Wagner Aubrey	PO	12	01	1912	10:00	6h	43N39	90W21	Hillsboro, WI
Wagner Robert	AC	10	02	1930	01:45	5h	42N20	83W3	Detroit, MI
Wagoner David	WR	05	06	1926	04:22	5h	40N48	81W32	Massillon, OH
Wagstaff Jack	MI	06	05	1917	22:30	7h	40N45	111W53	Salt Lake City, UT
Waidelich Charles	EX	02	05	1929	16:57	5h	39N58	83W0	Columbus, OH
Wakoski Diane	WR	03	08	1937	00:30	8h	33N58	118W3	Whittier, CA
Waldman Anne	WR	02	04	1945	12:20	4h	39N24	75W2	Millville, NJ
Walker Clint	AC	30	05	1927	13:15	6h	38N50	90W6	Hartford, IL
Wall Frederick	SC	14	12	1912	22:00	6h	47N29	92W53	Chisholm, MN
Walt Lewis	MI	16	02	1913	15:30	6h	39N9	96W21	Waubaunsee County, KS
Walton William	SP	05	11	1952	21:20	8h	32N46	117W3	La Mesa, CA
Wantling William	WR	07	11	1933	13:45	6h	40N42	89W36	Peoria, IL
Ward Roger	SP	10	01	1921	03:15	6h	39N28	98W6	Beloit, KS
Warfield Paul	SP	28	11	1942	11:43	4h	41N14	80W49	Warren, OH
Warmerdam Cornelius	SP	22	06	1915	20:00	8h	33N47	118W11	Long Beach, CA
Warnecke John	EX	24	02	1919	22:40	8h	37N49	122W16	Oakland, CA
Warner Harry	EX	07	07	1916	08:30	6h	39N58	83W0	Columbus, OH
Warringer Frederick	AC	02	06	1916	09:15	8h	34N9	118W9	Pasadena, CA
Warwick Dionne	AC	12	12	1940	15:08	5h	40N46	74W14	Orange, NJ
Wasserburg Gerald	SC	25	03	1927	00:55	5h	40N30	74W27	New Brunswick, NJ
Watson Robert	WR	26	12	1925	12:00	5h	40N51	74W7	Passaic, NJ
Webster George	SP	25	11	1945	03:10	5h	34N31	82W39	Anderson, SC
